quarter_end	xbi_g_value	xbi_g_return_pct	xbi_nong_value	xbi_nong_return_pct	xbi_etf_value	xbi_etf_return_pct	sp500_value	sp500_return_pct
2020-03-31	928.57	-7.14	891.3	-10.87	817.91	-18.21	793.34	-20.67
2020-06-30	1220.25	22.03	1086.15	8.62	1182.59	18.26	951.64	-4.84
2020-09-30	1118.83	11.88	1156.19	15.62	1178.0	17.8	1032.28	3.23
2020-12-31	1300.69	30.07	1554.24	55.42	1490.05	49.0	1152.93	15.29
2021-03-31	1276.57	27.66	1550.74	55.07	1436.15	43.62	1219.48	21.95
2021-06-30	1296.62	29.66	1754.26	75.43	1433.5	43.35	1319.12	31.91
2021-09-30	1228.1	22.81	1762.68	76.27	1330.91	33.09	1322.2	32.22
2021-12-31	1244.63	24.46	1550.8	55.08	1185.34	18.53	1462.98	46.3
2022-03-31	1198.37	19.84	1277.36	27.74	951.58	-4.84	1390.61	39.06
2022-06-30	1098.53	9.85	1123.1	12.31	786.31	-21.37	1161.93	16.19
2022-09-30	1211.31	21.13	1106.98	10.7	839.78	-16.02	1100.61	10.06
2022-12-31	1262.78	26.28	1205.7	20.57	878.74	-12.13	1178.54	17.85
2023-03-31	1207.67	20.77	1143.52	14.35	806.85	-19.31	1261.36	26.14
2023-06-30	1160.64	16.06	1159.39	15.94	880.88	-11.91	1366.05	36.6
2023-09-30	1078.49	7.85	1056.18	5.62	773.1	-22.69	1316.22	31.62
2023-12-31	1359.07	35.91	1108.75	10.87	945.52	-5.45	1464.1	46.41
2024-03-31	1318.06	31.81	1364.77	36.48	1004.82	0.48	1612.83	61.28
2024-06-30	1273.68	27.37	1312.28	31.23	982.96	-1.7	1676.1	67.61
2024-09-30	1352.79	35.28	1302.92	30.29	1047.68	4.77	1768.8	76.88
2024-12-31	1300.48	30.05	1223.3	22.33	955.03	-4.5	1805.37	80.54
2025-03-31	1324.75	32.48	1143.53	14.35	860.07	-13.99	1722.56	72.26
2025-06-30	1305.38	30.54	1130.69	13.07	879.55	-12.05	1904.62	90.46
2025-09-30	1458.25	45.83	1235.51	23.55	1063.01	6.3	2053.03	105.3
2025-12-31	1554.96	55.5	1391.22	39.12	1297.82	29.78	2101.23	110.12
2026-02-21	1564.44	56.44	1349.24	34.92	1328.16	32.82	2120.88	112.09
