ACCESSION_NUMBER	HOLDING_ID	ISSUER_NAME	ISSUER_LEI	ISSUER_TITLE	ISSUER_CUSIP	BALANCE	UNIT	OTHER_UNIT_DESC	CURRENCY_CODE	CURRENCY_VALUE	EXCHANGE_RATE	PERCENTAGE	PAYOFF_PROFILE	ASSET_CAT	OTHER_ASSET	ISSUER_TYPE	OTHER_ISSUER	INVESTMENT_COUNTRY	IS_RESTRICTED_SECURITY	FAIR_VALUE_LEVEL	DERIVATIVE_CAT	PRICE_PER_UNIT
0001752724-20-040307	21069335	Enanta Pharmaceuticals Inc	529900SSN4DODDQSN594	Enanta Pharmaceuticals Inc	29251M106	341571	NS		USD	21102256.38		.487579688796	Long	EC		CORP		US	N	1		61.780000
0001752724-20-040307	21069289	Myriad Genetics Inc	52990044IHUOUMETT163	Myriad Genetics Inc	62855J104	1585975	NS		USD	43186099.25		.997839494198	Long	EC		CORP		US	N	1		27.230000
0001752724-20-040307	21069341	Esperion Therapeutics Inc	549300OFU56UKEWVUS92	Esperion Therapeutics Inc	29664W105	579896	NS		USD	34579198.48		.798972135022	Long	EC		CORP		US	N	1		59.630000
0001752724-20-040307	21069292	Immunomedics Inc	5493007ZU7DDO8PSIM59	Immunomedics Inc	452907108	3133993	NS		USD	66315291.88		1.532252702983	Long	EC		CORP		US	N	1		21.160000
0001752724-20-040307	21069344	Kura Oncology Inc	5493005QORQTZCZYOP39	Kura Oncology Inc	50127T109	398562	NS		USD	5480227.5		.12662378709	Long	EC		CORP		US	N	1		13.750000
0001752724-20-040307	21069296	Veracyte Inc	529900ESWZRHXOW27Z37	Veracyte Inc	92337F107	1007446	NS		USD	28127892.32		.649911020742	Long	EC		CORP		US	N	1		27.920000
0001752724-20-040307	21069303	Sarepta Therapeutics Inc	549300IKDPIED8J8IG21	Sarepta Therapeutics Inc	803607100	549446	NS		USD	70900511.84		1.638196829569	Long	EC		CORP		US	N	1		129.040000
0001752724-20-040307	21069347	BioCryst Pharmaceuticals Inc	549300Z0INP1Z5NP6J59	BioCryst Pharmaceuticals Inc	09058V103	2701562	NS		USD	9320388.9		.215352910015	Long	EC		CORP		US	N	1		3.450000
0001752724-20-040307	21069306	ChemoCentryx Inc	529900YTTXUSFQTAKY40	ChemoCentryx Inc	16383L106	216304	NS		USD	8554823.2		.19766407717	Long	EC		CORP		US	N	1		39.550000
0001752724-20-040307	21069349	Krystal Biotech Inc	549300YONUY68210OE41	Krystal Biotech Inc	501147102	231615	NS		USD	12826838.7		.296371435782	Long	EC		CORP		US	N	1		55.380000
0001752724-20-040307	21069308	Insmed Inc	529900Q55QAG41CCAC11	Insmed Inc	457669307	1591994	NS		USD	38016816.72		.878400268273	Long	EC		CORP		US	N	1		23.880000
