ticker	sponsor_name	nct_id	phase	overall_status	brief_title	study_first_submitted_date	start_date	intervention_type	intervention_name	conditions	data_source	drug_chembl_id	target_chembl_id	action_type	target_name	gene_symbol	target_type
ABBV	AbbVie	NCT03639194	PHASE1	COMPLETED	A Study of ABBV-011 Alone and in Combination With Budigalimab (ABBV-181) in Participants With Relapsed or Refractory Small Cell Lung Cancer	2018-08-17	2018-10-24	DRUG	ABBV-011	Small Cell Lung Cancer	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT02596217	PHASE1	COMPLETED	Safety, Tolerability and Pharmacokinetics of BI 655066/ABBV-066 (Risankizumab) in Healthy Asian and Caucasian Male Volunteers	2015-08-12	2015-08-31	DRUG	ABBV-066	Healthy	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT02391480	PHASE1	COMPLETED	A Study Evaluating the Safety and Pharmacokinetics of ABBV-075 in Subjects With Cancer	2015-03-12	2015-04-14	DRUG	ABBV-075	Acute Myeloid Leukemia (AML) | Breast Cancer | Cancer | Multiple Myeloma | Non-Hodgkins Lymphoma | Non-Small Cell Lung Cancer | Prostate Cancer | Small Cell Lung Cancer	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT04127695	PHASE1	WITHDRAWN	A Study to Evaluate the Safety and Tolerability of ABBV-0805 in Patients With Parkinson's Disease	2019-10-09	2020-03-03	DRUG	ABBV-0805	Parkinson's Disease	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT02565758	PHASE1	COMPLETED	ABBV-085, an Antibody Drug Conjugate, in Subjects With Advanced Solid Tumors	2015-09-30	2015-09-18	DRUG	ABBV-085	Advanced Solid Tumors | Carcinoma of the Breast | Squamous Cell Carcinoma of the Head and Neck | Undifferentiated Pleomorphic Sarcoma	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03595059	PHASE1	COMPLETED	A Study With ABBV-155 Alone and in Combination With Taxane Therapy in Adults With Relapsed and/or Refractory Solid Tumors	2018-07-12	2018-07-13	DRUG	ABBV-155	Advanced Solid Tumors	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03922607	PHASE1	COMPLETED	A Study to Evaluate the Pharmacokinetics, Safety and Tolerability of ABBV-157 in Healthy Volunteers and in Participants With Chronic Plaque Psoriasis	2019-04-18	2019-06-11	DRUG	ABBV-157	Psoriasis	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03145909	PHASE1	TERMINATED	A Study Evaluating the Safety, Pharmacokinetics and Anti-Tumor Activity of ABBV-176 in Subjects With Advanced Solid Tumors Likely to Express Prolactin Receptor (PRLR)	2017-05-05	2017-07-03	DRUG	ABBV-176	Advanced Solid Tumors Cancer	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03893955	PHASE1	ACTIVE_NOT_RECRUITING	A Study to Determine the Safety, Tolerability, Pharmacokinetics, and Preliminary Efficacy of ABBV-927 With ABBV-368, Budigalimab (ABBV-181) and/or Chemotherapy in Participants With Locally Advanced or Metastatic Solid Tumors	2019-03-27	2019-05-21	DRUG	ABBV-181	Advanced Solid Tumors | Cancer | Metastatic Solid Tumors | Non-small-cell-lung-cancer (NSCLC) | Triple-Negative Breast Cancer (TNBC)	AACT/ClinicalTrials.gov		CHEMBL4801	INHIBITOR	Programmed cell death protein 1 (PD-1/PDCD1)	PDCD1	single_protein
ABBV	AbbVie	NCT02988960	PHASE1	ACTIVE_NOT_RECRUITING	A Study of ABBV-927 and ABBV-181, an Immunotherapy, in Participants With Advanced Solid Tumors	2016-12-08	2017-02-22	DRUG	ABBV-181	Advanced Solid Tumors Cancer	AACT/ClinicalTrials.gov		CHEMBL4801	INHIBITOR	Programmed cell death protein 1 (PD-1/PDCD1)	PDCD1	single_protein
